,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
0,2022-10-30,Films (English),1,68310000,1,the good nurse,movie,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,2022,R,121 min,"Biography, Crime, Drama",United States,tt4273800,7.1,204
1,2022-10-30,Films (English),2,41950000,2,the school for good and evil,movie,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,2022,PG-13,147 min,"Action, Comedy, Drama",United States,tt2935622,5.8,"18,952"
2,2022-10-30,Films (English),3,9170000,2,the stranger,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020.0,TV-MA,45.0,"['thriller', 'crime', 'drama']",['GB'],tt9698480,7.3,48298.0
5,2022-10-30,Films (English),6,8020000,4,luckiest girl alive,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113 min,"Drama, Mystery, Thriller",United States,tt4595186,6.4,"13,563"
6,2022-10-30,Films (English),7,5420000,4,sing,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108 min,"Animation, Comedy, Family","Japan, United States, France",tt3470600,7.1,"169,979"
7,2022-10-30,Films (English),8,4210000,4,the boss baby,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97 min,"Animation, Adventure, Comedy",United States,tt3874544,6.3,"127,311"
8,2022-10-30,Films (English),9,3960000,1,hubie halloween,MOVIE,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",2020.0,PG-13,103.0,"['horror', 'comedy', 'thriller', 'fantasy']",['US'],tt10682266,5.2,48575.0
10,2022-10-30,Films (Non-English),1,31500000,1,all quiet on the western front,movie,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",1930,Passed,152 min,"Drama, War",United States,tt0020629,8.1,"61,923"
12,2022-10-30,Films (Non-English),3,15900000,2,20th century girl,movie,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.",2022,TV-PG,119 min,"Drama, Romance",South Korea,tt15340724,7.3,"1,183"
13,2022-10-30,Films (Non-English),4,12360000,1,beyond the universe,movie,A 21st-century scientist tries to save Earth after two atomic wars.,1981,N/A,93 min,Sci-Fi,United States,tt0130503,3.8,88
14,2022-10-30,Films (Non-English),5,10470000,1,hellhole,movie,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy.",2022,TV-MA,91 min,Horror,Poland,tt19724142,5.6,"2,465"
18,2022-10-30,Films (Non-English),9,2290000,8,rurouni kenshin: the beginning,MOVIE,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",2021.0,R,138.0,"['action', 'drama']",['JP'],tt11991748,7.4,8273.0
