,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
0,2022-10-30,Films (English),1,The Good Nurse,,68310000,1,,,,,,,,,,,,
1,2022-10-30,Films (English),2,The School for Good and Evil,,41950000,2,,,,,,,,,,,,
2,2022-10-30,Films (English),3,The Stranger,,9170000,2,ts224901,SHOW,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,2020.0,TV-MA,45.0,"['thriller', 'crime', 'drama']",['GB'],1.0,tt9698480,7.3,48298.0
3,2022-10-30,Films (English),4,Wild Is the Wind,,8890000,1,,,,,,,,,,,,
4,2022-10-30,Films (English),5,The Curse of Bridge Hollow,,8170000,3,,,,,,,,,,,,
5,2022-10-30,Films (English),6,Luckiest Girl Alive,,8020000,4,,,,,,,,,,,,
6,2022-10-30,Films (English),7,Sing,,5420000,4,,,,,,,,,,,,
7,2022-10-30,Films (English),8,The Boss Baby,,4210000,4,,,,,,,,,,,,
8,2022-10-30,Films (English),9,Hubie Halloween,,3960000,1,tm847998,MOVIE,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",2020.0,PG-13,103.0,"['horror', 'comedy', 'thriller', 'fantasy']",['US'],,tt10682266,5.2,48575.0
9,2022-10-30,Films (English),10,Blade of the 47 Ronin,,3940000,1,,,,,,,,,,,,
10,2022-10-30,Films (Non-English),1,All Quiet on the Western Front,,31500000,1,,,,,,,,,,,,
11,2022-10-30,Films (Non-English),2,The Chalk Line,,17360000,1,,,,,,,,,,,,
12,2022-10-30,Films (Non-English),3,20th Century Girl,,15900000,2,,,,,,,,,,,,
13,2022-10-30,Films (Non-English),4,Beyond the Universe,,12360000,1,,,,,,,,,,,,
14,2022-10-30,Films (Non-English),5,Hellhole,,10470000,1,,,,,,,,,,,,
15,2022-10-30,Films (Non-English),6,Robbing Mussolini,,4600000,1,,,,,,,,,,,,
16,2022-10-30,Films (Non-English),7,Someone Borrowed,,4200000,3,,,,,,,,,,,,
17,2022-10-30,Films (Non-English),8,Lost Bullet,,3250000,4,tm893799,MOVIE,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.",2020.0,,92.0,"['thriller', 'action', 'crime']","['BE', 'FR']",,tt10456740,6.3,9479.0
18,2022-10-30,Films (Non-English),9,Rurouni Kenshin: The Beginning,,2290000,8,tm855075,MOVIE,"Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",2021.0,R,138.0,"['action', 'drama']",['JP'],,tt11991748,7.4,8273.0
19,2022-10-30,Films (Non-English),10,Laal Singh Chaddha,,1990000,4,,,,,,,,,,,,
20,2022-10-30,TV (English),1,From Scratch,From Scratch: Limited Series,72020000,2,,,,,,,,,,,,
21,2022-10-30,TV (English),2,The Watcher,The Watcher: Season 1,67510000,3,,,,,,,,,,,,
22,2022-10-30,TV (English),3,Guillermo del Toro's Cabinet of Curiosities,Guillermo del Toro's Cabinet of Curiosities: Season 1,49950000,1,,,,,,,,,,,,
23,2022-10-30,TV (English),4,Love Is Blind,Love Is Blind: Season 3,42070000,2,ts304505,SHOW,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",2020.0,TV-MA,54.0,"['reality', 'romance']",['US'],5.0,tt11704040,6.1,7863.0
24,2022-10-30,TV (English),5,DAHMER,DAHMER: Monster: The Jeffrey Dahmer Story,40960000,6,,,,,,,,,,,,
25,2022-10-30,TV (English),6,Unsolved Mysteries,Unsolved Mysteries: Volume 3,14060000,2,ts281928,SHOW,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",2020.0,TV-MA,49.0,"['documentation', 'drama', 'thriller', 'crime']",['US'],2.0,tt9642938,7.3,9492.0
26,2022-10-30,TV (English),7,The Bastard Son & The Devil Himself,The Bastard Son & The Devil Himself: Season 1,13830000,1,,,,,,,,,,,,
27,2022-10-30,TV (English),8,28 Days Haunted,28 Days Haunted: Season 1,13670000,2,,,,,,,,,,,,
28,2022-10-30,TV (English),9,Big Mouth,Big Mouth: Season 6,13590000,1,ts75879,SHOW,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,2017.0,TV-MA,27.0,"['comedy', 'animation', 'romance']",['US'],6.0,tt6524350,7.9,76088.0
29,2022-10-30,TV (English),10,Little Angel,Little Angel: Volume 1,10800000,1,,,,,,,,,,,,
30,2022-10-30,TV (Non-English),1,Til Money Do Us Part,Til Money Do Us Part: Season 1,51490000,2,,,,,,,,,,,,
31,2022-10-30,TV (Non-English),2,Barbarians,Barbarians: II,21220000,2,ts246072,SHOW,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",2020.0,TV-MA,47.0,"['drama', 'action', 'history']",['DE'],1.0,tt9184986,7.2,23709.0
32,2022-10-30,TV (Non-English),3,Dubai Bling,Dubai Bling: Season 1,13710000,1,,,,,,,,,,,,
